dim_1,dim_2,gene,0,1
2.0,863.0,SLA-DRB1,4.455555555555556,883.0611111111111
3.0,700.0,CD14,9.421182266009852,711.7093596059113
6.0,461.0,CD11c,9.085995085995085,437.2948402948403
6.0,628.0,CD14,13.754491017964073,625.5928143712575
6.0,775.0,SLA-DRB1,42.73894912427023,760.4503753127607
7.0,771.0,SLA-DRB1,42.73894912427023,760.4503753127607
8.0,581.0,CD11c,6.859943977591036,567.1176470588235
10.0,652.0,CD11c,22.169811320754718,676.3169811320755
11.0,396.0,CD14,37.767133956386296,399.00233644859816
11.0,772.0,SLA-DRB1,42.73894912427023,760.4503753127607
11.0,1482.0,CD14,15.661596958174904,1444.2699619771863
11.0,1866.0,CD11c,34.39081632653061,1878.0724489795919
11.0,1870.0,CD11c,34.39081632653061,1878.0724489795919
11.0,1918.0,CD11c,19.70689655172414,1899.9806034482758
12.0,699.0,CD14,9.421182266009852,711.7093596059113
12.0,711.0,CD14,9.421182266009852,711.7093596059113
12.0,777.0,SLA-DRB1,42.73894912427023,760.4503753127607
12.0,1268.0,SLA-DRB1,17.946524064171122,1287.3048128342245
12.0,1464.0,CD11c,15.661596958174904,1444.2699619771863
13.0,1737.0,CD14,17.416184971098264,1711.4682080924856
14.0,408.0,CD14,37.767133956386296,399.00233644859816
14.0,503.0,CD14,24.74700598802395,546.6811377245509
14.0,648.0,CD11c,45.64969450101833,661.0142566191446
14.0,1696.0,CD14,17.416184971098264,1711.4682080924856
14.0,1722.0,CD14,17.416184971098264,1711.4682080924856
15.0,403.0,CD11c,37.767133956386296,399.00233644859816
15.0,665.0,CD11c,22.169811320754718,676.3169811320755
15.0,669.0,CD14,22.169811320754718,676.3169811320755
15.0,1455.0,CD11c,15.661596958174904,1444.2699619771863
16.0,1404.0,CD11c,15.661596958174904,1444.2699619771863
16.0,1444.0,CD11c,15.661596958174904,1444.2699619771863
17.0,705.0,SLA-DRB1,9.421182266009852,711.7093596059113
17.0,1867.0,CD11c,34.39081632653061,1878.0724489795919
18.0,409.0,CD14,37.767133956386296,399.00233644859816
18.0,585.0,CD11c,6.859943977591036,567.1176470588235
18.0,621.0,CD14,13.754491017964073,625.5928143712575
18.0,922.0,CD14,18.135280553420447,918.3289777094543
19.0,1443.0,CD11c,15.661596958174904,1444.2699619771863
19.0,1726.0,CD14,17.416184971098264,1711.4682080924856
20.0,943.0,SLA-DRB1,18.135280553420447,918.3289777094543
20.0,1722.0,CD14,17.416184971098264,1711.4682080924856
21.0,673.0,CD14,22.169811320754718,676.3169811320755
21.0,1734.0,CD14,17.416184971098264,1711.4682080924856
21.0,1875.0,CD11c,34.39081632653061,1878.0724489795919
22.0,711.0,CD14,9.421182266009852,711.7093596059113
